Comment,Label,Comment_clean,Label_id
"நாடகக் காதல்..  குடும்பத்தோட பொண்ணு வீட்டுக்கு போய், வசதி வாய்ப்பை பார்த்து எவ்ளோ பணம் தேறும்,  நகை தேரும்,  சொத்து  பத்து தேறும்னு கணக்கு போட்டு கல்யானம் பண்ணி, ரெண்டு நாளோ மூனு நாளோ பார்த்தவன்/வ கூட அன்னிக்கி நைட்டே படுக்கறதுக்கு  பேரு தான் நாடகக் காதல்.",NON_HATE,"நாடகக் காதல்..  குடும்பத்தோட பொண்ணு வீட்டுக்கு போய், வசதி வாய்ப்பை பார்த்து எவ்ளோ பணம் தேறும்,  நகை தேரும்,  சொத்து  பத்து தேறும்னு கணக்கு போட்டு கல்யானம் பண்ணி, ரெண்டு நாளோ மூனு நாளோ பார்த்தவன்/வ கூட அன்னிக்கி நைட்டே படுக்கறதுக்கு  பேரு தான் நாடகக் காதல்.",0.0
வெற்றி பெற வாழ்த்துக்கள் கண்டிப்பாக திரையரங்கில் பார்க்கவேண்டும்,NON_HATE,வெற்றி பெற வாழ்த்துக்கள் கண்டிப்பாக திரையரங்கில் பார்க்கவேண்டும்,0.0
Enagada traileriye verithanama yeduthurukinga..apo padam..screen kiliya poguthu..semmaa thalaivaa,NON_HATE,enagada traileriye verithanama yeduthurukinga..apo padam..screen kiliya poguthu..semmaa thalaivaa,0.0
800 dislike people should die as soon as posiible,HATE,800 dislike people should die as soon as posiible,1.0
இது சாதி படம் அல்ல பெண்களின் படம் ஒரு சில பேர் பண்ணும் தவறால் சாதிக்கு கெட்ட பேரு அதான் படம்,NON_HATE,இது சாதி படம் அல்ல பெண்களின் படம் ஒரு சில பேர் பண்ணும் தவறால் சாதிக்கு கெட்ட பேரு அதான் படம்,0.0
ஜெயம்ரவி ௨ங்கமேல நல்ல மறியாதை இருக்கு தலைவரை நிங்கள்ளும்மா,NON_HATE,ஜெயம்ரவி ௨ங்கமேல நல்ல மறியாதை இருக்கு தலைவரை நிங்கள்ளும்மா,0.0
வெற்றி பெற வாழ்த்துக்கள்.. வெள்ளாளர்  சார்பாக,NON_HATE,வெற்றி பெற வாழ்த்துக்கள்.. வெள்ளாளர்  சார்பாக,0.0
Marana bangam..Verithanam Overloaded to Surya Anna Fans..Hmm kola Mass pannuga Pangaligala..,NON_HATE,marana bangam..verithanam overloaded to surya anna fans..hmm kola mass pannuga pangaligala..,0.0
Goosebumps vantha vangala la like podungo,NON_HATE,goosebumps vantha vangala la like podungo,0.0
Intha padam varanum samuga matrathirkana padam ..18k dislikes ithula ena theriuthu avlo poriki porikitu iruku ponnungala..,NON_HATE,intha padam varanum samuga matrathirkana padam ..18k dislikes ithula ena theriuthu avlo poriki porikitu iruku ponnungala..,0.0
MARVEL MEDIA MY CHANNEL. Pls visit subscribe,NON_HATE,marvel media my channel. pls visit subscribe,0.0
Sirappana tharamana sambavatha inimel dha paakka porom,NON_HATE,sirappana tharamana sambavatha inimel dha paakka porom,0.0
0.41 look at the name tag vijay kumar,NON_HATE,0.41 look at the name tag vijay kumar,0.0
#திரௌபதி சாதி வெறி படம்..சிறுத்தைகள்  அப்ப ப.ரஞ்சித் எடுத்தது என்ன #A படமாடா நாயே🤣,NON_HATE,#திரௌபதி சாதி வெறி படம்..சிறுத்தைகள்  அப்ப ப.ரஞ்சித் எடுத்தது என்ன #a படமாடா நாயே🤣,0.0
அன்றைக்கு எங்கள் குல சாமி சொன்னது திரௌபதி திரைப்படம் இவண்.மாவீரன் தம்பி சரத்..🦁🦁,NON_HATE,அன்றைக்கு எங்கள் குல சாமி சொன்னது திரௌபதி திரைப்படம் இவண்.மாவீரன் தம்பி சரத்..🦁🦁,0.0
Both VCK & PMK Fraudu pasanga than da  En da itha padathula kaati engala makkala Jaathi kalavaram thoonduringa,NON_HATE,both vck & pmk fraudu pasanga than da  en da itha padathula kaati engala makkala jaathi kalavaram thoonduringa,0.0
Manasu kulla irrundha kovam lam ippa வெட்ட வெளிச்சம் ஆகியிருக்கு .. நன்றி படக்குழு,NON_HATE,manasu kulla irrundha kovam lam ippa வெட்ட வெளிச்சம் ஆகியிருக்கு .. நன்றி படக்குழு,0.0
Theatre ellaam insure panni vachukkangappaa.. 2.00 la theatre ellaam kandam!,HATE,theatre ellaam insure panni vachukkangappaa.. 2.00 la theatre ellaam kandam!,1.0
Naa arasiyalukku varuvathu uruthi..Rajini tells this dialog since 96. Semme joke.,HATE,naa arasiyalukku varuvathu uruthi..rajini tells this dialog since 96. semme joke.,1.0
Thalaivar vera level  Suriya ennoda uyir  Avaru oru rockstar,NON_HATE,thalaivar vera level  suriya ennoda uyir  avaru oru rockstar,0.0
Wow wow wow.. suriya Anna,NON_HATE,wow wow wow.. suriya anna,0.0
Comali 9looks teaser la varave Ella,HATE,comali 9looks teaser la varave ella,1.0
அருமை.. 100%சிறப்பு.. வாழ்க. குடும்பத்தினரோடு சென்று திரையரங்கில் மட்டுமே  பார்ப்போம். இப்படிக்கு தேவர் மகன்.,NON_HATE,அருமை.. 100%சிறப்பு.. வாழ்க. குடும்பத்தினரோடு சென்று திரையரங்கில் மட்டுமே  பார்ப்போம். இப்படிக்கு தேவர் மகன்.,0.0
Jimmki kammal has more views 🤣,NON_HATE,jimmki kammal has more views 🤣,0.0
U1 BGM mass verala level thala look semaa,NON_HATE,u1 bgm mass verala level thala look semaa,0.0
வாழ்த்துக்கள் நண்பா.. சமூகத்தின் நடக்கும்  உண்மை சம்பவங்களை படமாக எடுத்ததற்கு நெஞ்சார்ந்த நன்றியைத் தெரிவித்துக்கொள்கிறேன்.. இது போன்ற படங்களை மென் மேலும் படைக்க வாழ்த்துக்கள்..,NON_HATE,வாழ்த்துக்கள் நண்பா.. சமூகத்தின் நடக்கும்  உண்மை சம்பவங்களை படமாக எடுத்ததற்கு நெஞ்சார்ந்த நன்றியைத் தெரிவித்துக்கொள்கிறேன்.. இது போன்ற படங்களை மென் மேலும் படைக்க வாழ்த்துக்கள்..,0.0
Mani Ratnam kitta ippdi oru script huh.. Omg.. Vera level!!(,NON_HATE,mani ratnam kitta ippdi oru script huh.. omg.. vera level!!(,0.0
panggaaligala 2 million likes varanum innum vegama like ah therika vidunka,NON_HATE,panggaaligala 2 million likes varanum innum vegama like ah therika vidunka,0.0
Ayyo thalaialva Vera lvl confirm ellaflrume RAJINIFIED,NON_HATE,ayyo thalaialva vera lvl confirm ellaflrume rajinified,0.0
Atlee verumpaya illa. Trailer layae evlo azhaga Katha soldraan!!,NON_HATE,atlee verumpaya illa. trailer layae evlo azhaga katha soldraan!!,0.0
Pa Ranjith paru Da unaku sc St quote job government job quarters ellam cancel pannanum,HATE,pa ranjith paru da unaku sc st quote job government job quarters ellam cancel pannanum,1.0
Kajal Agarwal is back I so happy,NON_HATE,kajal agarwal is back i so happy,0.0
Vijay sethupathy sir saggatamizanpadam edutha eppti odama iruku I am waiting makkal selvan🤩🤩,NON_HATE,vijay sethupathy sir saggatamizanpadam edutha eppti odama iruku i am waiting makkal selvan🤩🤩,0.0
Kadasi word its super (oruthavanga mela visuvasatha katrathukaga innoruthavangala  asinga paduthathinga).,NON_HATE,kadasi word its super (oruthavanga mela visuvasatha katrathukaga innoruthavangala  asinga paduthathinga).,0.0
thalaiva tharu maru marana mass vilayadalama,NON_HATE,thalaiva tharu maru marana mass vilayadalama,0.0
2.04 .Rajini ah serupala adicha Maari irundhuchu,HATE,2.04 .rajini ah serupala adicha maari irundhuchu,1.0
SK kagha paaka vandhavangha like pannungha,NON_HATE,sk kagha paaka vandhavangha like pannungha,0.0
But graphics sothapal panitanuga English Kara pottainga athan Padam late ayirichi,NON_HATE,but graphics sothapal panitanuga english kara pottainga athan padam late ayirichi,0.0
அரசியலுக்கு வருவது உறுதி .. ரஜினி .. இது 1996  .. 🤣🤣,NON_HATE,அரசியலுக்கு வருவது உறுதி .. ரஜினி .. இது 1996  .. 🤣🤣,0.0
Anyone after NGK n Kaappaan teaser,NON_HATE,anyone after ngk n kaappaan teaser,0.0
Friend nu FB la Like Kudukkara Friend  dunu nenachiya life be kudukkanu da,HATE,friend nu fb la like kudukkara friend  dunu nenachiya life be kudukkanu da,1.0
Ella scene summa therikuthu Kandipa veraleval blockbuster,NON_HATE,ella scene summa therikuthu kandipa veraleval blockbuster,0.0
Gujarath patel inathin sarbaga vetri pera valthukkal,NON_HATE,gujarath patel inathin sarbaga vetri pera valthukkal,0.0
unaku yaravathu palaya friendu irukangala.. nambatha..,NON_HATE,unaku yaravathu palaya friendu irukangala.. nambatha..,0.0
Statue odaikalam but b.r. kolkai alika mudiyathu,HATE,statue odaikalam but b.r. kolkai alika mudiyathu,1.0
Surya anna huge fan from #mangalore #coastal_Karnataka #tulunadu,NON_HATE,surya anna huge fan from #mangalore #coastal_karnataka #tulunadu,0.0
Please telugu dubbed telugu danush fans,NON_HATE,please telugu dubbed telugu danush fans,0.0
Iron man fans dis like podunga intha vidio kku,HATE,iron man fans dis like podunga intha vidio kku,1.0
pakathane pora Intha kaliyoda attatha 🤘🤘,HATE,pakathane pora intha kaliyoda attatha 🤘🤘,1.0
Marana mass ah irukke..song um trailer um..saavadi,HATE,marana mass ah irukke..song um trailer um..saavadi,1.0
Mersal ku siricha siripu viswasam movie ku illa..idhu enna da anil ku vandha sodhanai,HATE,mersal ku siricha siripu viswasam movie ku illa..idhu enna da anil ku vandha sodhanai,1.0
Tamil trailer nachina vallu okka like here,NON_HATE,tamil trailer nachina vallu okka like here,0.0
thala  mattum than original mass..bcoz others papaerla vilambaram kotuthutu poraku trailar release panittu sathanai pannittatha pithikuvanga thala mttum than vilambarame seiyamal kalakkuvaar..thalada..  ..,HATE,thala  mattum than original mass..bcoz others papaerla vilambaram kotuthutu poraku trailar release panittu sathanai pannittatha pithikuvanga thala mttum than vilambarame seiyamal kalakkuvaar..thalada..  ..,1.0
Ennada ipadi yeduthu vechurkingha ..paaph,HATE,ennada ipadi yeduthu vechurkingha ..paaph,1.0
Kaakaa pudikaa sollallaa..kaakaa vukaa unna pudikudhu🤣🤣,HATE,kaakaa pudikaa sollallaa..kaakaa vukaa unna pudikudhu🤣🤣,1.0
Yevan ya camera man.. Semma Visuals.. Amazing..,NON_HATE,yevan ya camera man.. semma visuals.. amazing..,0.0
Ashok  selvan padam nampi pogala perusa onnum vachi seiya mataru,NON_HATE,ashok  selvan padam nampi pogala perusa onnum vachi seiya mataru,0.0
Nerkonda paarvai trailer review -,NON_HATE,nerkonda paarvai trailer review -,0.0
2 years aagiduchu innum movie varala,HATE,2 years aagiduchu innum movie varala,1.0
Trailer paka poren. RowThiram maari iruntha kandipa theatre,NON_HATE,trailer paka poren. rowthiram maari iruntha kandipa theatre,0.0
Rajini Style maa. Enna therikka vidalamaAA,NON_HATE,rajini style maa. enna therikka vidalamaaa,0.0
Trailer ah paatha Angaali Pangaali elam oru like podunga,NON_HATE,trailer ah paatha angaali pangaali elam oru like podunga,0.0
Mothathula viswasathuku bulb kudukkurathukagave yedutha mathiri iruku,HATE,mothathula viswasathuku bulb kudukkurathukagave yedutha mathiri iruku,1.0
VERITHANAM  Dhanush Fan From Sri Lanka,NON_HATE,verithanam  dhanush fan from sri lanka,0.0
"சமூக அரசியல் சார்ந்த படம், வெற்றி பெற வாழ்த்துக்கள்",NON_HATE,"சமூக அரசியல் சார்ந்த படம், வெற்றி பெற வாழ்த்துக்கள்",0.0
Kirrakk  Style ka baap  Super star RAJINI,NON_HATE,kirrakk  style ka baap  super star rajini,0.0
Vivagam part 2 trailer mathri irkuu,HATE,vivagam part 2 trailer mathri irkuu,1.0
Nadippin nayakan brilliant director selva sir compo u1 muzic cult in class loading,NON_HATE,nadippin nayakan brilliant director selva sir compo u1 muzic cult in class loading,0.0
**a vera levell trailer..  Mass gangsters..,NON_HATE,**a vera levell trailer..  mass gangsters..,0.0
Paruda..ivaru lawyerlayaei rowdy lawyera irupar pola,HATE,paruda..ivaru lawyerlayaei rowdy lawyera irupar pola,1.0
Last dialogue semma  karthi Anna .. Nala panirukenga ..,NON_HATE,last dialogue semma  karthi anna .. nala panirukenga ..,0.0
Hit Like Suriya Fans  Hit Like South Indian Hindi Fans,NON_HATE,hit like suriya fans  hit like south indian hindi fans,0.0
Innaki Kaalaila(13-6-19) endhichadhum inga vandhavan yaru?,NON_HATE,innaki kaalaila(13-6-19) endhichadhum inga vandhavan yaru?,0.0
100 times ku mela parthavangala like potutu ponga,NON_HATE,100 times ku mela parthavangala like potutu ponga,0.0
Vetrimaranivanukku mattum eppadi daa intha mathiri bgm kedakkurathu Hats off,NON_HATE,vetrimaranivanukku mattum eppadi daa intha mathiri bgm kedakkurathu hats off,0.0
semma..pakka..kola mass..therri..perfect title..thalapathy  Ajak pans thevdiya pasangala apadiye vorama pongada amayanzz,HATE,semma..pakka..kola mass..therri..perfect title..thalapathy  ajak pans thevdiya pasangala apadiye vorama pongada amayanzz,1.0
Kaipulla Vijay Twitter la Trending agudhu,NON_HATE,kaipulla vijay twitter la trending agudhu,0.0
Thalaiivaa🤣🤣I'm waiting ughhthis Valentine's day program eh neenga dhan,NON_HATE,thalaiivaa🤣🤣i'm waiting ughhthis valentine's day program eh neenga dhan,0.0
கொங்கு வேளாளர் கவுண்டர்கள் பேரவை சார்பாக படம் மிகப்பெரிய அளவில் வெற்றி பெற வாழ்த்துக்கள்.. சாகட்டும் திருமா சக்கிலி,HATE,கொங்கு வேளாளர் கவுண்டர்கள் பேரவை சார்பாக படம் மிகப்பெரிய அளவில் வெற்றி பெற வாழ்த்துக்கள்.. சாகட்டும் திருமா சக்கிலி,1.0
Thala Mass..looks like a Hollywood movie..,NON_HATE,thala mass..looks like a hollywood movie..,0.0
A wonderful nd amazing wtng 2 see,NON_HATE,a wonderful nd amazing wtng 2 see,0.0
Aruvi movie real fans hit like here guys,NON_HATE,aruvi movie real fans hit like here guys,0.0
unique concept hats off edho message solra satirical film pola.,NON_HATE,unique concept hats off edho message solra satirical film pola.,0.0
Morning endhirichadhum teaser paka vandhavanga laam likee ah poduu  Kaappaan teaser vera level  2019 naanga dhaan da,NON_HATE,morning endhirichadhum teaser paka vandhavanga laam likee ah poduu  kaappaan teaser vera level  2019 naanga dhaan da,0.0
"நாடக காதல் கும்பல் கதற ஆரமித்து விட்டார்கள்,கதறல் சத்தம் அதிகமாவே கேக்குது,",NON_HATE,"நாடக காதல் கும்பல் கதற ஆரமித்து விட்டார்கள்,கதறல் சத்தம் அதிகமாவே கேக்குது,",0.0
தாழ்த்தப்பட்ட மக்களின் நலனுக்காக தன் சொத்தை பங்கிட்டுக் அடைக்கலம் கொடுத்த மதிப்பிற்குரிய பசும்பொன் முத்துராமலிங்கத் தேவர் அவர்கள் வழியே சாதி மறந்து..உணர்வுகளை மதித்து நபப்பவர்களின் சார்பாக படம் வெற்றி அடைய வாழ்த்துகிறோம்..,NON_HATE,தாழ்த்தப்பட்ட மக்களின் நலனுக்காக தன் சொத்தை பங்கிட்டுக் அடைக்கலம் கொடுத்த மதிப்பிற்குரிய பசும்பொன் முத்துராமலிங்கத் தேவர் அவர்கள் வழியே சாதி மறந்து..உணர்வுகளை மதித்து நபப்பவர்களின் சார்பாக படம் வெற்றி அடைய வாழ்த்துகிறோம்..,0.0
India makaal sarbagae endhae padam vetri adayaae emadhu vazthukaal.. trailer woo,NON_HATE,india makaal sarbagae endhae padam vetri adayaae emadhu vazthukaal.. trailer woo,0.0
Last scene vera level love u thala,NON_HATE,last scene vera level love u thala,0.0
Surya  Luv u Thalaivaa,NON_HATE,surya  luv u thalaivaa,0.0
Padamna Ithu padam ..Semma message movie ..Great,NON_HATE,padamna ithu padam ..semma message movie ..great,0.0
Single pasangha like me,NON_HATE,single pasangha like me,0.0
"நாடக காதலால்  உண்மையிலேயே அதிகம் பாதிக்கப்பட்ட வேளாளர், தேவர் , வன்னியர் சமுதாயங்களுக்கு இப்படம் சமர்ப்பணம் ஆகும்",NON_HATE,"நாடக காதலால்  உண்மையிலேயே அதிகம் பாதிக்கப்பட்ட வேளாளர், தேவர் , வன்னியர் சமுதாயங்களுக்கு இப்படம் சமர்ப்பணம் ஆகும்",0.0
இந்த படம் தமிழ் சமுதாயம் மக்களுக்கு சிறந்த படமா இருக்கும்,NON_HATE,இந்த படம் தமிழ் சமுதாயம் மக்களுக்கு சிறந்த படமா இருக்கும்,0.0
ennaikku neriya peru kitta illatha oru ketta palazhum en kitta erukku ajith fanzz okkurathu thalapathy fanz than mass,HATE,ennaikku neriya peru kitta illatha oru ketta palazhum en kitta erukku ajith fanzz okkurathu thalapathy fanz than mass,1.0
டிரெய்லர் ரிபீட் மோட் ல பாக்குறேன். அவிங்கனால பாதிக்கப்பட்ட குடும்பத்தில் ஒருவன்..,NON_HATE,டிரெய்லர் ரிபீட் மோட் ல பாக்குறேன். அவிங்கனால பாதிக்கப்பட்ட குடும்பத்தில் ஒருவன்..,0.0
Dislike adicha maannynmark naduviral namaskaram,HATE,dislike adicha maannynmark naduviral namaskaram,1.0
What ah trailer  semma mass ah Iruku,NON_HATE,what ah trailer  semma mass ah iruku,0.0
viswasam enga poga poguthunu theriyalaya. PETTA PARAAK,HATE,viswasam enga poga poguthunu theriyalaya. petta paraak,1.0
Dai neenga la loose mari caste language nu sanda pottu irukurapo Namma ellarum Indians nu oru jawan border la ninutu irukanga da sethuturuka da dai innum ah da neenga thirunthula grow up da we all are Indians,HATE,dai neenga la loose mari caste language nu sanda pottu irukurapo namma ellarum indians nu oru jawan border la ninutu irukanga da sethuturuka da dai innum ah da neenga thirunthula grow up da we all are indians,1.0
Trailer yangaluku  pedichirundha mattum like podugaa,NON_HATE,trailer yangaluku  pedichirundha mattum like podugaa,0.0
I am here after queen's trailer.,NON_HATE,i am here after queen's trailer.,0.0
Thala unna paththiddu irukkan. Seekkiram vaa thala,NON_HATE,thala unna paththiddu irukkan. seekkiram vaa thala,0.0
ஒரு குடும்பத்தின் கதறலை படமா மாற்றி உள்ளிர்கள் வாழ்த்துக்கள் வன்னிய நன்பா,NON_HATE,ஒரு குடும்பத்தின் கதறலை படமா மாற்றி உள்ளிர்கள் வாழ்த்துக்கள் வன்னிய நன்பா,0.0
"Karhtik Subburaj Mass Pannitinga ,Thalaivara supera kattirukinga thanks bro",NON_HATE,"karhtik subburaj mass pannitinga ,thalaivara supera kattirukinga thanks bro",0.0
A Tamil movie going the Malayalam way ?,NON_HATE,a tamil movie going the malayalam way ?,0.0
Super படத்தை ஆவலோடு எதிர்பார்கிறோம். குடும்பத்தோடு அனைவரும் பார்ப்போம்..,NON_HATE,super படத்தை ஆவலோடு எதிர்பார்கிறோம். குடும்பத்தோடு அனைவரும் பார்ப்போம்..,0.0
Namaku theva thavayanatha nama than adichu vanganum .. Nama edathuku nama than sanda seyanum..,HATE,namaku theva thavayanatha nama than adichu vanganum .. nama edathuku nama than sanda seyanum..,1.0
751k likes reached aairuku pangalingala adichi thookalamaa,NON_HATE,751k likes reached aairuku pangalingala adichi thookalamaa,0.0
Yarellam sarkar teaser pathutu vanthu itha pathingalo like podunga,NON_HATE,yarellam sarkar teaser pathutu vanthu itha pathingalo like podunga,0.0
Thala Oda unmaiyana fan ahaa irrutha ilke podunga,NON_HATE,thala oda unmaiyana fan ahaa irrutha ilke podunga,0.0
Viswasam trailer needs 20k likes to reach 1.4m likes,NON_HATE,viswasam trailer needs 20k likes to reach 1.4m likes,0.0
